Track Name,Original Program Change #,Corrected Program Change #,Original Note 0-127 (-1 = ALL),Corrected Note - Specify what to remap to or put +/- to indicate shifting ALL notes,Layered Notes? (TRUE or FALSE),Channel Type (DRUM or MELODIC)
Music Box,0,10,-999,-999,FALSE,MELODIC
Fingered Bass,1,33,-999,-999,FALSE,MELODIC
Fingered Bass,1,33,-1,-12,FALSE,MELODIC
Picked Bass,2,34,-999,-999,FALSE,MELODIC
Harmonica,3,34,-999,-999,FALSE,MELODIC
Bright Piano,4,1,-999,-999,FALSE,MELODIC
Strings,5,48,-999,-999,FALSE,MELODIC
Upright Bass,6,32,-999,-999,FALSE,MELODIC
Upright Bass,6,32,0,12,FALSE,MELODIC
Upright Bass,6,32,1,12,FALSE,MELODIC
Upright Bass,6,32,2,12,FALSE,MELODIC
Upright Bass,6,32,3,12,FALSE,MELODIC
Upright Bass,6,32,4,12,FALSE,MELODIC
Upright Bass,6,32,5,12,FALSE,MELODIC
Upright Bass,6,32,6,12,FALSE,MELODIC
Upright Bass,6,32,7,12,FALSE,MELODIC
Upright Bass,6,32,8,12,FALSE,MELODIC
Upright Bass,6,32,9,12,FALSE,MELODIC
Upright Bass,6,32,10,12,FALSE,MELODIC
Upright Bass,6,32,11,12,FALSE,MELODIC
Upright Bass,6,32,12,12,FALSE,MELODIC
Upright Bass,6,32,13,12,FALSE,MELODIC
Upright Bass,6,32,14,12,FALSE,MELODIC
Upright Bass,6,32,15,12,FALSE,MELODIC
Upright Bass,6,32,16,12,FALSE,MELODIC
Upright Bass,6,32,17,12,FALSE,MELODIC
Upright Bass,6,32,18,12,FALSE,MELODIC
Upright Bass,6,32,19,12,FALSE,MELODIC
Upright Bass,6,32,20,12,FALSE,MELODIC
Upright Bass,6,32,21,12,FALSE,MELODIC
Upright Bass,6,32,22,12,FALSE,MELODIC
Upright Bass,6,32,23,12,FALSE,MELODIC
Upright Bass,6,32,24,12,FALSE,MELODIC
Upright Bass,6,32,25,12,FALSE,MELODIC
Upright Bass,6,32,26,12,FALSE,MELODIC
Upright Bass,6,32,27,12,FALSE,MELODIC
Upright Bass,6,32,28,12,FALSE,MELODIC
Upright Bass,6,32,29,12,FALSE,MELODIC
Upright Bass,6,32,30,12,FALSE,MELODIC
Upright Bass,6,32,31,12,FALSE,MELODIC
Upright Bass,6,32,32,12,FALSE,MELODIC
Upright Bass,6,32,33,12,FALSE,MELODIC
Upright Bass,6,32,34,12,FALSE,MELODIC
Upright Bass,6,32,35,12,FALSE,MELODIC
Upright Bass,6,32,36,12,FALSE,MELODIC
Upright Bass,6,32,37,12,FALSE,MELODIC
Upright Bass,6,32,38,12,FALSE,MELODIC
Upright Bass,6,32,39,12,FALSE,MELODIC
Upright Bass,6,32,40,12,FALSE,MELODIC
Upright Bass,6,32,41,12,FALSE,MELODIC
Upright Bass,6,32,42,12,FALSE,MELODIC
Upright Bass,6,32,43,12,FALSE,MELODIC
Upright Bass,6,32,44,12,FALSE,MELODIC
Upright Bass,6,32,45,12,FALSE,MELODIC
Upright Bass,6,32,46,12,FALSE,MELODIC
Upright Bass,6,32,47,12,FALSE,MELODIC
Upright Bass,6,32,48,12,FALSE,MELODIC
Upright Bass,6,32,49,12,FALSE,MELODIC
Upright Bass,6,32,50,12,FALSE,MELODIC
Upright Bass,6,32,51,12,FALSE,MELODIC
Upright Bass,6,32,52,12,FALSE,MELODIC
Upright Bass,6,32,53,12,FALSE,MELODIC
Upright Bass,6,32,54,12,FALSE,MELODIC
Upright Bass,6,32,55,12,FALSE,MELODIC
Upright Bass,6,32,56,12,FALSE,MELODIC
Upright Bass,6,32,57,12,FALSE,MELODIC
Upright Bass,6,32,58,12,FALSE,MELODIC
Upright Bass,6,32,59,12,FALSE,MELODIC
Upright Bass,6,32,60,12,FALSE,MELODIC
Upright Bass,6,32,61,12,FALSE,MELODIC
Upright Bass,6,32,62,12,FALSE,MELODIC
Upright Bass,6,32,63,12,FALSE,MELODIC
Upright Bass,6,32,64,12,FALSE,MELODIC
Upright Bass,6,32,65,12,FALSE,MELODIC
Upright Bass,6,32,66,12,FALSE,MELODIC
Upright Bass,6,32,67,12,FALSE,MELODIC
Upright Bass,6,32,68,12,FALSE,MELODIC
Upright Bass,6,32,69,12,FALSE,MELODIC
Upright Bass,6,32,77,-48,FALSE,MELODIC
Upright Bass,6,32,78,-48,FALSE,MELODIC
Upright Bass,6,32,79,-48,FALSE,MELODIC
Upright Bass,6,32,80,-48,FALSE,MELODIC
Upright Bass,6,32,81,-48,FALSE,MELODIC
Upright Bass,6,32,82,-48,FALSE,MELODIC
Upright Bass,6,32,83,-48,FALSE,MELODIC
Upright Bass,6,32,84,-48,FALSE,MELODIC
Upright Bass,6,32,85,-48,FALSE,MELODIC
Upright Bass,6,32,86,-48,FALSE,MELODIC
Upright Bass,6,32,87,-48,FALSE,MELODIC
Upright Bass,6,32,88,-48,FALSE,MELODIC
Upright Bass,6,32,89,-48,FALSE,MELODIC
Upright Bass,6,32,90,-48,FALSE,MELODIC
Upright Bass,6,32,91,-48,FALSE,MELODIC
Upright Bass,6,32,92,-48,FALSE,MELODIC
Upright Bass,6,32,93,-48,FALSE,MELODIC
Upright Bass,6,32,94,-48,FALSE,MELODIC
Upright Bass,6,32,95,-48,FALSE,MELODIC
Upright Bass,6,32,96,-48,FALSE,MELODIC
Upright Bass,6,32,97,-48,FALSE,MELODIC
Upright Bass,6,32,98,-48,FALSE,MELODIC
Upright Bass,6,32,99,-48,FALSE,MELODIC
Upright Bass,6,32,100,-48,FALSE,MELODIC
Upright Bass,6,32,101,-48,FALSE,MELODIC
Upright Bass,6,32,102,-48,FALSE,MELODIC
Upright Bass,6,32,103,-48,FALSE,MELODIC
Upright Bass,6,32,104,-48,FALSE,MELODIC
Upright Bass,6,32,105,-48,FALSE,MELODIC
Upright Bass,6,32,106,-48,FALSE,MELODIC
Upright Bass,6,32,107,-48,FALSE,MELODIC
Upright Bass,6,32,108,-48,FALSE,MELODIC
Upright Bass,6,32,109,-48,FALSE,MELODIC
Upright Bass,6,32,110,-48,FALSE,MELODIC
Upright Bass,6,32,111,-48,FALSE,MELODIC
Upright Bass,6,32,112,-48,FALSE,MELODIC
Upright Bass,6,32,113,-48,FALSE,MELODIC
Upright Bass,6,32,114,-48,FALSE,MELODIC
Upright Bass,6,32,115,-48,FALSE,MELODIC
Upright Bass,6,32,116,-48,FALSE,MELODIC
Upright Bass,6,32,117,-48,FALSE,MELODIC
Upright Bass,6,32,118,-48,FALSE,MELODIC
Upright Bass,6,32,119,-48,FALSE,MELODIC
Upright Bass,6,32,120,-48,FALSE,MELODIC
Upright Bass,6,32,121,-48,FALSE,MELODIC
Upright Bass,6,32,122,-48,FALSE,MELODIC
Upright Bass,6,32,123,-48,FALSE,MELODIC
Upright Bass,6,32,124,-48,FALSE,MELODIC
Upright Bass,6,32,125,-48,FALSE,MELODIC
Upright Bass,6,32,126,-48,FALSE,MELODIC
Upright Bass,6,32,127,-48,FALSE,MELODIC
Drum Kit,6,0,-999,-999,FALSE,DRUM
Drum Kit,6,0,70,36,FALSE,DRUM
Drum Kit,6,0,71,37,FALSE,DRUM
Drum Kit,6,0,72,86,FALSE,DRUM
Drum Kit,6,0,73,86,FALSE,DRUM
Drum Kit,6,0,74,86,FALSE,DRUM
Drum Kit,6,0,75,86,FALSE,DRUM
Drum Kit,6,0,76,86,FALSE,DRUM
Sawtooth,7,81,-999,-999,FALSE,MELODIC
Saxophone,8,64,-999,-999,FALSE,MELODIC
Timpani,9,47,-999,-999,FALSE,MELODIC
Drum Kit,9,48,-999,-999,FALSE,DRUM
Drum Kit,9,48,73-73,49,FALSE,DRUM
Drum Kit,9,48,84,57,FALSE,DRUM
Drum Kit,9,48,85,40,FALSE,DRUM
Drum Kit,10,8,-999,-999,FALSE,DRUM
Drum Kit,10,8,23-32,12,FALSE,DRUM
Drum Kit,10,8,37,39,FALSE,DRUM
Muted Guitar,11,28,-999,-999,FALSE,MELODIC
Synth Brass,12,62,-999,-999,FALSE,MELODIC
Square Wave,13,80,-999,-999,FALSE,MELODIC
New Age Pad,14,88,-999,-999,FALSE,MELODIC
Latin Kit,15,40,-999,-999,FALSE,DRUM
Latin Kit,15,40,36,87,FALSE,DRUM
Latin Kit,15,40,37,86,FALSE,DRUM
Latin Kit,15,40,60,69,FALSE,DRUM
Latin Kit,15,40,61,69,FALSE,DRUM
Latin Kit,15,40,62,70,FALSE,DRUM
Latin Kit,15,40,63,60,FALSE,DRUM
Latin Kit,15,40,64,62,FALSE,DRUM
Latin Kit,15,40,66,77,FALSE,DRUM
Latin Kit,15,40,67,64,FALSE,DRUM
Latin Kit,15,40,73,68,FALSE,DRUM
Latin Kit,15,40,74,67,FALSE,DRUM
Latin Kit,15,40,76,60,FALSE,DRUM
Latin Kit,15,40,78,37,FALSE,DRUM
Latin Kit,15,40,79,63,FALSE,DRUM
Latin Kit,15,40,84,76,FALSE,DRUM
Brass Section,16,61,-999,-999,FALSE,MELODIC
Steel String Guitar,17,25,-999,-999,FALSE,MELODIC
Percussive Organ,18,17,-999,-999,FALSE,MELODIC
Drum Kicks,19,25,-999,-999,FALSE,DRUM
Drum Kicks,19,25,61,36,FALSE,DRUM
Drum Kicks,19,25,63,36,FALSE,DRUM
Drum Kicks,19,25,64,36,FALSE,DRUM
Drum Kicks,19,25,65,36,FALSE,DRUM
Drum Kicks,19,25,66,36,FALSE,DRUM
Drum Kicks,19,25,67,36,FALSE,DRUM
Drum Kicks,19,25,68,36,FALSE,DRUM
Drum Kicks,19,25,69,36,FALSE,DRUM
Drum Kicks,19,25,70,36,FALSE,DRUM
Drum Kicks,19,25,72,36,FALSE,DRUM
