Track Name,Original Program Change #,Corrected Program Change #,Original Note 0-127 (-1 = ALL),Corrected Note - Specify what to remap to or put +/- to indicate shifting ALL notes,Layered Notes? (TRUE or FALSE),Channel Type (DRUM or MELODIC)
Acoustic Grand Piano,2,0,-999,-999,FALSE,MELODIC
Acoustic Grand Piano,2,0,-1,12,TRUE,MELODIC
A Suitcase Medium,3,4,-999,-999,FALSE,MELODIC
Vibraphone 1,5,11,-999,-999,FALSE,MELODIC
Marimba,6,12,-999,-999,FALSE,MELODIC
Xylophone,7,13,-999,-999,FALSE,MELODIC
Orchestral Chimes,8,14,-999,-999,FALSE,MELODIC
Glockenspiel,9,9,-999,-999,FALSE,MELODIC
Music Box,10,10,-999,-999,FALSE,MELODIC
Drawbar Organ,11,16,-999,-999,FALSE,MELODIC
Jazz Organ,12,18,-999,-999,FALSE,MELODIC
Accordion,13,21,-999,-999,FALSE,MELODIC
Gerome Finger Soft 2,14,24,-999,-999,FALSE,MELODIC
Martin Soft 2,15,25,-999,-999,FALSE,MELODIC
Distortion Guitar,16,30,-999,-999,FALSE,MELODIC
Distortion Guitar,17,30,-999,-999,FALSE,MELODIC
Clean Electric Guitar,18,27,-999,-999,FALSE,MELODIC
Jazz Double Bass Hard,19,32,-999,-999,FALSE,MELODIC
Fretless Bass Program Remap,20,35,-999,-999,FALSE,MELODIC
Fretless Bass,20,35,-1,-12,FALSE,MELODIC
Slap Bass 1,21,36,-999,-999,FALSE,MELODIC
Elastik Synth Bass,22,38,-999,-999,FALSE,MELODIC
String Orchestra,23,48,-999,-999,FALSE,MELODIC
Violin Sustain,24,40,-999,-999,FALSE,MELODIC
Cello Sustain,25,42,-999,-999,FALSE,MELODIC
Pizzicato Strings,26,45,-999,-999,FALSE,MELODIC
Harp,27,46,-999,-999,FALSE,MELODIC
Timpani,28,47,-999,-999,FALSE,MELODIC
Timpani,28,47,-1,-12,FALSE,MELODIC
Trumpet Ensemble,29,56,-999,-999,FALSE,MELODIC
Trombone Ensemble,30,57,-999,-999,FALSE,MELODIC
Solo French Horn,31,60,-999,-999,FALSE,MELODIC
